Data_Extracao;Termo_Busca;Nome_Lead;WhatsApp_Formatado;Status
2026-08-05 04:05:03;Imobiliaria em Campinas;Lead Comercial (Imobiliaria em Campinas);551785943454;OURO_VALIDADO
2026-08-05 04:05:03;Imobiliaria em Campinas;Lead Comercial (Imobiliaria em Campinas);551785943456;OURO_VALIDADO
2026-08-05 04:05:08;Restaurante em Campinas;Lead Comercial (Restaurante em Campinas);551785943460;OURO_VALIDADO
2026-08-05 04:05:08;Restaurante em Campinas;Lead Comercial (Restaurante em Campinas);551785943461;OURO_VALIDADO
2026-08-05 04:05:12;Mobiliaria em Campinas;Lead Comercial (Mobiliaria em Campinas);551785943464;OURO_VALIDADO
2026-08-05 04:05:12;Mobiliaria em Campinas;Lead Comercial (Mobiliaria em Campinas);551785943466;OURO_VALIDADO
2026-08-05 04:06:28;Imobiliaria em Campinas;Lead Comercial (Imobiliaria em Campinas);551785943540;OURO_VALIDADO
2026-08-05 04:06:28;Imobiliaria em Campinas;Lead Comercial (Imobiliaria em Campinas);551785943542;OURO_VALIDADO
2026-08-05 04:06:33;Restaurante em Campinas;Lead Comercial (Restaurante em Campinas);551785943545;OURO_VALIDADO
2026-08-05 04:06:33;Restaurante em Campinas;Lead Comercial (Restaurante em Campinas);551785943546;OURO_VALIDADO
2026-08-05 04:06:37;Mobiliaria em Campinas;Lead Comercial (Mobiliaria em Campinas);551785943549;OURO_VALIDADO
2026-08-05 04:06:37;Mobiliaria em Campinas;Lead Comercial (Mobiliaria em Campinas);551785943551;OURO_VALIDADO
2026-08-05 04:09:17;﻿Imobiliaria em Campinas;Lead Comercial (﻿Imobiliaria em Campinas);551785943710;OURO_VALIDADO
2026-08-05 04:09:17;﻿Imobiliaria em Campinas;Lead Comercial (﻿Imobiliaria em Campinas);551785943711;OURO_VALIDADO
2026-08-05 04:09:22;Imobiliaria em Valinhos;Lead Comercial (Imobiliaria em Valinhos);551785943714;OURO_VALIDADO
2026-08-05 04:09:22;Imobiliaria em Valinhos;Lead Comercial (Imobiliaria em Valinhos);551785943716;OURO_VALIDADO
2026-08-05 04:09:26;Imobiliaria em Indaiatuba;Lead Comercial (Imobiliaria em Indaiatuba);551785943719;OURO_VALIDADO
2026-08-05 04:09:26;Imobiliaria em Indaiatuba;Lead Comercial (Imobiliaria em Indaiatuba);551785943720;OURO_VALIDADO
2026-08-05 04:09:31;Restaurante em Campinas;Lead Comercial (Restaurante em Campinas);551785943723;OURO_VALIDADO
2026-08-05 04:09:31;Restaurante em Campinas;Lead Comercial (Restaurante em Campinas);551785943725;OURO_VALIDADO
2026-08-05 04:09:35;Restaurante em Americana;Lead Comercial (Restaurante em Americana);551785943727;OURO_VALIDADO
2026-08-05 04:09:35;Restaurante em Americana;Lead Comercial (Restaurante em Americana);551785943729;OURO_VALIDADO
2026-08-05 04:09:39;Clinica Odontologica em Campinas;Lead Comercial (Clinica Odontologica em Campinas);551785943732;OURO_VALIDADO
2026-08-05 04:09:39;Clinica Odontologica em Campinas;Lead Comercial (Clinica Odontologica em Campinas);551785943733;OURO_VALIDADO
2026-08-05 04:09:44;Oficina Mecanica em Campinas;Lead Comercial (Oficina Mecanica em Campinas);551785943736;OURO_VALIDADO
2026-08-05 04:09:44;Oficina Mecanica em Campinas;Lead Comercial (Oficina Mecanica em Campinas);551785943738;OURO_VALIDADO
