"Arquivo","Caminho","Linhas","Flask","FastAPI","SQLite","Requests","Pandas","Numpy","Streamlit","Tkinter","OpenAI","Classes","Funcoes"
"deploy.py","C:\IOTEC\deploy.py","0","False","False","False","False","False","False","False","False","False","0","0"
"001_IOTEC_ENTERPRISE_COMMAND_CENTER.py","C:\IOTEC\001_IOTEC_ENTERPRISE_COMMAND_CENTER.py","306","False","False","False","False","False","False","False","False","False","3","7"
"002_X27_CORE.py","C:\IOTEC\002_X27_CORE.py","265","False","False","False","False","False","False","False","False","False","3","8"
"003_KATSUYO_ENGINE.py","C:\IOTEC\003_KATSUYO_ENGINE.py","314","False","False","False","False","False","False","False","False","False","4","6"
"004_EVENT_BUS.py","C:\IOTEC\004_EVENT_BUS.py","243","False","False","False","False","False","False","False","False","False","2","6"
"005_REVENUE_RADAR.py","C:\IOTEC\005_REVENUE_RADAR.py","209","False","False","False","False","False","False","False","False","False","2","5"
"006_MARKET_HUNTER.py","C:\IOTEC\006_MARKET_HUNTER.py","201","False","False","False","False","False","False","False","False","False","2","4"
"007_COMMERCIAL_AGENT.py","C:\IOTEC\007_COMMERCIAL_AGENT.py","278","False","False","False","False","False","False","False","False","False","3","5"
"008_CONTRACT_CENTER.py","C:\IOTEC\008_CONTRACT_CENTER.py","355","False","False","False","False","False","False","False","False","False","3","6"
"009_FINANCIAL_CENTER.py","C:\IOTEC\009_FINANCIAL_CENTER.py","306","False","False","False","False","False","False","False","False","False","4","7"
"010_BUDGET_HUNTER.py","C:\IOTEC\010_BUDGET_HUNTER.py","265","False","False","False","False","False","False","False","False","False","3","5"
"011_CRM_CENTER.py","C:\IOTEC\011_CRM_CENTER.py","346","False","False","False","False","False","False","False","False","False","3","8"
"012_CONNECTOR_MANAGER.py","C:\IOTEC\012_CONNECTOR_MANAGER.py","304","False","False","False","True","False","False","False","False","False","3","6"
"013_API_GATEWAY.py","C:\IOTEC\013_API_GATEWAY.py","261","False","False","False","True","False","False","False","False","False","4","3"
"014_SECURITY_CENTER.py","C:\IOTEC\014_SECURITY_CENTER.py","277","False","False","False","False","False","False","False","False","False","3","6"
"015_AUDIT_ENGINE.py","C:\IOTEC\015_AUDIT_ENGINE.py","257","False","False","False","False","False","False","False","False","False","3","5"
"016_ENTERPRISE_KERNEL.py","C:\IOTEC\016_ENTERPRISE_KERNEL.py","334","False","False","False","False","False","False","False","False","False","3","6"
"017_NOTIFICATION_CENTER.py","C:\IOTEC\017_NOTIFICATION_CENTER.py","57","False","False","False","False","False","False","False","False","False","2","2"
"018_EMAIL_ENGINE.py","C:\IOTEC\018_EMAIL_ENGINE.py","57","False","False","False","False","False","False","False","False","False","2","2"
"019_SMS_ENGINE.py","C:\IOTEC\019_SMS_ENGINE.py","57","False","False","False","False","False","False","False","False","False","2","2"
"abrir_Servico.py","C:\IOTEC\abrir_Servico.py","70","False","False","False","False","False","False","False","False","False","0","0"
"acquisition_sources.py","C:\IOTEC\acquisition_sources.py","274","False","False","True","False","False","False","False","False","False","0","0"
"ACROPOLE_CITY.py","C:\IOTEC\ACROPOLE_CITY.py","797","False","False","False","False","False","False","False","False","False","0","4"
"ACROPOLE_COSMOS.py","C:\IOTEC\ACROPOLE_COSMOS.py","1681","False","False","False","False","False","False","False","False","False","0","0"
"ACROPOLE_GLOBAL.py","C:\IOTEC\ACROPOLE_GLOBAL.py","2161","False","False","False","False","False","False","False","False","False","0","0"
"ACROPOLE_INFINITY.py","C:\IOTEC\ACROPOLE_INFINITY.py","1973","False","False","False","False","False","False","False","False","False","0","0"
"ACROPOLE_NEXUS.py","C:\IOTEC\ACROPOLE_NEXUS.py","2515","False","False","False","False","False","False","False","False","False","0","0"
"ACROPOLE_OMEGA.py","C:\IOTEC\ACROPOLE_OMEGA.py","2405","False","False","False","False","False","False","False","False","False","0","0"
"ACROPOLE_PRIME.py","C:\IOTEC\ACROPOLE_PRIME.py","1889","False","False","False","False","False","False","False","False","False","0","0"
"ACROPOLE_VISUAL.py","C:\IOTEC\ACROPOLE_VISUAL.py","1595","False","False","False","False","False","False","False","False","False","0","0"
"ADAPTADOR_DE_ROTAS.py","C:\IOTEC\ADAPTADOR_DE_ROTAS.py","116","False","False","False","False","False","False","False","False","False","0","0"
"ADAPTIVE_RESERVOIR_ENGINE.py","C:\IOTEC\ADAPTIVE_RESERVOIR_ENGINE.py","263","False","False","True","False","False","False","False","False","False","0","0"
"ADD_PRIORITY_COLUMN.py","C:\IOTEC\ADD_PRIORITY_COLUMN.py","24","False","False","True","False","False","False","False","False","False","0","0"
"agente.py","C:\IOTEC\agente.py","131","False","False","False","False","False","False","False","False","True","0","2"
"AGENTS.py","C:\IOTEC\AGENTS.py","12","False","False","False","False","False","False","False","False","False","0","0"
"ajustar_zoom_inteligente.py","C:\IOTEC\ajustar_zoom_inteligente.py","171","False","False","False","False","False","False","False","False","False","0","5"
"analisar_cenario.py","C:\IOTEC\analisar_cenario.py","78","False","False","False","False","False","False","False","False","False","0","1"
"analise_nucleo.py","C:\IOTEC\analise_nucleo.py","124","False","False","False","False","False","False","False","False","False","0","1"
"api.py","C:\IOTEC\api.py","35","True","False","False","False","False","False","False","False","False","0","1"
"APOCALYPSE_ENGINE.py","C:\IOTEC\APOCALYPSE_ENGINE.py","740","False","False","False","False","False","False","False","False","False","0","5"
"app.py","C:\IOTEC\app.py","902","False","False","False","False","False","False","True","False","False","0","0"
"APPROVE_PROPOSAL.py","C:\IOTEC\APPROVE_PROPOSAL.py","40","False","False","True","False","False","False","False","False","False","0","0"
"app_cerebro_comercial.py","C:\IOTEC\app_cerebro_comercial.py","380","True","False","False","False","False","False","False","False","True","0","6"
"ARCHITECTURE_ANALYZER.py","C:\IOTEC\ARCHITECTURE_ANALYZER.py","67","False","False","False","False","False","False","False","False","False","0","0"
"ARQUEOLOGIA_DIGITAL.py","C:\IOTEC\ARQUEOLOGIA_DIGITAL.py","1004","False","False","False","False","False","False","False","False","False","0","11"
"ARQUEOLOGO_DO_NUCLEO.py","C:\IOTEC\ARQUEOLOGO_DO_NUCLEO.py","295","False","False","True","False","False","False","False","False","False","4","6"
"ARQUITETURA_MODULAR_OPERACIONAL.py","C:\IOTEC\ARQUITETURA_MODULAR_OPERACIONAL.py","910","True","False","False","False","False","False","False","False","False","0","11"
"artemis_scan.py","C:\IOTEC\artemis_scan.py","21","False","False","False","False","False","False","False","False","False","0","1"
"ATUALIZACAO_NO_NUCLEO.py","C:\IOTEC\ATUALIZACAO_NO_NUCLEO.py","72","False","False","False","False","False","False","False","False","False","0","1"
"auditoria_estrategica.py","C:\IOTEC\auditoria_estrategica.py","218","False","False","False","False","False","False","False","False","False","0","5"
"auditoria_nucleo.py","C:\IOTEC\auditoria_nucleo.py","120","False","False","False","False","False","False","False","False","False","0","3"
"AUDIT_VALUE_ENGINE.py","C:\IOTEC\AUDIT_VALUE_ENGINE.py","211","False","False","True","False","False","False","False","False","False","0","0"
"AURORA_AURORA.py","C:\IOTEC\AURORA_AURORA.py","28","False","False","False","False","False","False","False","False","False","0","0"
"AURORA_DATABASE.py","C:\IOTEC\AURORA_DATABASE.py","161","False","False","False","False","False","False","False","False","False","0","6"
"AURORA_SIMULATION_ENGINE.py","C:\IOTEC\AURORA_SIMULATION_ENGINE.py","232","False","False","False","False","False","False","False","False","False","0","5"
"AUTOMATION_HISTORY_ENGINE.py","C:\IOTEC\AUTOMATION_HISTORY_ENGINE.py","136","False","False","True","False","False","False","False","False","False","0","0"
"AUTONOMOUS_LEAD.py","C:\IOTEC\AUTONOMOUS_LEAD.py","434","False","False","False","False","False","False","False","False","False","0","0"
"AUTO_HEAL_ENGINE.py","C:\IOTEC\AUTO_HEAL_ENGINE.py","167","False","False","True","False","False","False","False","False","False","0","0"
"auto_injector.py","C:\IOTEC\auto_injector.py","233","False","False","False","False","False","False","False","False","False","0","0"
"AUTO_MONETIZATION_ENGINE.py","C:\IOTEC\AUTO_MONETIZATION_ENGINE.py","144","False","False","True","False","False","False","False","False","False","0","2"
"auto_patch.py","C:\IOTEC\auto_patch.py","99","False","False","False","False","False","False","False","False","False","0","1"
"AUTO_PATCH_ENGINE.py","C:\IOTEC\AUTO_PATCH_ENGINE.py","138","False","False","False","False","False","False","False","False","False","0","0"
"AUTO_PATCH_SERVER_SQL.py","C:\IOTEC\AUTO_PATCH_SERVER_SQL.py","97","False","False","False","False","False","False","False","False","False","0","0"
"AUTO_PORT.py","C:\IOTEC\AUTO_PORT.py","305","False","False","False","False","False","False","False","False","False","0","1"
"AUTO_UPGRADE_FRONTEND_360.py","C:\IOTEC\AUTO_UPGRADE_FRONTEND_360.py","153","False","False","False","False","False","False","False","False","False","0","0"
"AUTO_UPGRADE_SERVER_360.py","C:\IOTEC\AUTO_UPGRADE_SERVER_360.py","45","False","False","False","False","False","False","False","False","False","0","0"
"Avaliação_de_Estoques.py","C:\IOTEC\Avaliação_de_Estoques.py","19","False","False","False","False","False","False","False","False","False","0","1"
"BACKEND_COM_FLUXO_COMPLETO.py","C:\IOTEC\BACKEND_COM_FLUXO_COMPLETO.py","48","True","False","False","False","False","False","False","False","False","0","1"
"BACKUP_20260511_185831.py","C:\IOTEC\BACKUP_20260511_185831.py","1239","False","False","False","True","False","False","False","False","False","1","13"
"BACKUP_NEURAL_MAP_ENGINE.py","C:\IOTEC\BACKUP_NEURAL_MAP_ENGINE.py","318","False","False","False","False","False","False","False","False","False","0","8"
"BILLING_ORCHESTRATOR.py","C:\IOTEC\BILLING_ORCHESTRATOR.py","131","False","False","True","False","False","False","False","False","False","0","0"
"bootstrap_safe.py","C:\IOTEC\bootstrap_safe.py","22","False","False","False","False","False","False","False","False","False","0","1"
"boot_iotec.py","C:\IOTEC\boot_iotec.py","174","False","False","False","False","False","False","False","False","False","0","0"
"BOOT_MANAGER.py","C:\IOTEC\BOOT_MANAGER.py","38","False","False","False","False","False","False","False","False","False","0","0"
"BRAIN.py","C:\IOTEC\BRAIN.py","239","False","False","False","False","False","False","False","False","False","0","3"
"BRIDGE_TOWER.py","C:\IOTEC\BRIDGE_TOWER.py","181","True","False","False","False","False","False","False","False","False","0","5"
"BROADCAST.py","C:\IOTEC\BROADCAST.py","672","False","False","False","False","False","False","False","False","False","0","2"
"broker.py","C:\IOTEC\broker.py","46","False","False","False","False","False","False","False","False","False","0","3"
"Cadeias_Críticas.py","C:\IOTEC\Cadeias_Críticas.py","30","False","False","False","False","False","False","False","False","False","0","0"
"calcular_score.py","C:\IOTEC\calcular_score.py","49","False","False","False","False","False","False","False","False","False","0","1"
"Capacidades_conhecidas.py","C:\IOTEC\Capacidades_conhecidas.py","28","False","False","False","False","False","False","False","False","False","0","0"
"CAPACIDADES_ECONÔMICAS.py","C:\IOTEC\CAPACIDADES_ECONÔMICAS.py","331","True","True","True","False","False","False","False","False","True","0","1"
"Catálogo_de_Valor.py","C:\IOTEC\Catálogo_de_Valor.py","33","False","False","False","False","False","False","False","False","False","0","0"
"CENTRAL_CORE.py","C:\IOTEC\CENTRAL_CORE.py","579","False","False","False","False","False","False","False","False","False","0","6"
"Central_Operacional.py","C:\IOTEC\Central_Operacional.py","396","False","False","False","False","False","False","False","False","False","0","0"
"cerebro_comercial.py","C:\IOTEC\cerebro_comercial.py","86","False","False","False","False","False","False","False","False","False","0","0"
