company_name,segment,subcategory,country,state,city,website,linkedin,phone,email,employees,annual_revenue,products,services,priority,opportunity_score,status,notes
Microsoft,Tecnologia,Software,USA,,,,,,,,,,,ALTA,50,NOVA,
Google,Tecnologia,Internet,USA,,,,,,,,,,,ALTA,50,NOVA,
Amazon,Tecnologia,Cloud,USA,,,,,,,,,,,ALTA,50,NOVA,
Apple,Tecnologia,Hardware,USA,,,,,,,,,,,ALTA,50,NOVA,
Oracle,Tecnologia,Banco de Dados,USA,,,,,,,,,,,ALTA,50,NOVA,
IBM,Tecnologia,Consultoria,USA,,,,,,,,,,,ALTA,50,NOVA,
Intel,Tecnologia,Semicondutores,USA,,,,,,,,,,,ALTA,50,NOVA,
AMD,Tecnologia,Semicondutores,USA,,,,,,,,,,,ALTA,50,NOVA,
NVIDIA,Tecnologia,IA,USA,,,,,,,,,,,ALTA,50,NOVA,
Cisco,Tecnologia,Redes,USA,,,,,,,,,,,ALTA,50,NOVA,
Dell,Tecnologia,Computadores,USA,,,,,,,,,,,ALTA,50,NOVA,
HP,Tecnologia,Computadores,USA,,,,,,,,,,,ALTA,50,NOVA,
Lenovo,Tecnologia,Computadores,China,,,,,,,,,,,ALTA,50,NOVA,
Huawei,Tecnologia,Telecom,China,,,,,,,,,,,ALTA,50,NOVA,
Samsung,Tecnologia,Eletrônicos,Coreia do Sul,,,,,,,,,,,ALTA,50,NOVA,
Sony,Tecnologia,Eletrônicos,Japão,,,,,,,,,,,ALTA,50,NOVA,
LG,Tecnologia,Eletrônicos,Coreia do Sul,,,,,,,,,,,ALTA,50,NOVA,
Xiaomi,Tecnologia,Eletrônicos,China,,,,,,,,,,,ALTA,50,NOVA,
Siemens,Indústria,Automação,Alemanha,,,,,,,,,,,ALTA,50,NOVA,
Bosch,Indústria,Automação,Alemanha,,,,,,,,,,,ALTA,50,NOVA,
ABB,Energia,Automação,Suíça,,,,,,,,,,,ALTA,50,NOVA,
Schneider Electric,Energia,Automação,França,,,,,,,,,,,ALTA,50,NOVA,
General Electric,Energia,Industrial,USA,,,,,,,,,,,ALTA,50,NOVA,
Hitachi,Industrial,Tecnologia,Japão,,,,,,,,,,,ALTA,50,NOVA,
Midea,Eletrodomésticos,Linha Branca,China,,,,,,,,,,,ALTA,50,NOVA,
Haier,Eletrodomésticos,Linha Branca,China,,,,,,,,,,,ALTA,50,NOVA,
Whirlpool,Eletrodomésticos,Linha Branca,USA,,,,,,,,,,,ALTA,50,NOVA,
Electrolux,Eletrodomésticos,Linha Branca,Suécia,,,,,,,,,,,ALTA,50,NOVA,
Toyota,Automotivo,Veículos,Japão,,,,,,,,,,,ALTA,50,NOVA,
Honda,Automotivo,Veículos,Japão,,,,,,,,,,,ALTA,50,NOVA,
Volkswagen,Automotivo,Veículos,Alemanha,,,,,,,,,,,ALTA,50,NOVA,
BMW,Automotivo,Veículos,Alemanha,,,,,,,,,,,ALTA,50,NOVA,
Mercedes-Benz,Automotivo,Veículos,Alemanha,,,,,,,,,,,ALTA,50,NOVA,
Volvo,Automotivo,Veículos,Suécia,,,,,,,,,,,ALTA,50,NOVA,
Scania,Automotivo,Caminhões,Suécia,,,,,,,,,,,ALTA,50,NOVA,
Hyundai,Automotivo,Veículos,Coreia do Sul,,,,,,,,,,,ALTA,50,NOVA,
BYD,Automotivo,Veículos Elétricos,China,,,,,,,,,,,ALTA,50,NOVA,
Tesla,Automotivo,Veículos Elétricos,USA,,,,,,,,,,,ALTA,50,NOVA,
Petrobras,Energia,Petróleo,Brasil,,,,,,,,,,,ALTA,50,NOVA,
Shell,Energia,Petróleo,Reino Unido,,,,,,,,,,,ALTA,50,NOVA,
Chevron,Energia,Petróleo,USA,,,,,,,,,,,ALTA,50,NOVA,
ExxonMobil,Energia,Petróleo,USA,,,,,,,,,,,ALTA,50,NOVA,
BP,Energia,Petróleo,Reino Unido,,,,,,,,,,,ALTA,50,NOVA,
Equinor,Energia,Petróleo,Noruega,,,,,,,,,,,ALTA,50,NOVA,
TotalEnergies,Energia,Petróleo,França,,,,,,,,,,,ALTA,50,NOVA,
WEG,Energia,Motores,Brasil,,,,,,,,,,,ALTA,50,NOVA,
Itaú Unibanco,Financeiro,Banco,Brasil,,,,,,,,,,,ALTA,50,NOVA,
Banco do Brasil,Financeiro,Banco,Brasil,,,,,,,,,,,ALTA,50,NOVA,
Caixa Econômica Federal,Financeiro,Banco,Brasil,,,,,,,,,,,ALTA,50,NOVA,
Bradesco,Financeiro,Banco,Brasil,,,,,,,,,,,ALTA,50,NOVA,
Santander,Financeiro,Banco,Espanha,,,,,,,,,,,ALTA,50,NOVA,
Nubank,Financeiro,Fintech,Brasil,,,,,,,,,,,ALTA,50,NOVA,
Visa,Financeiro,Pagamentos,USA,,,,,,,,,,,ALTA,50,NOVA,
Mastercard,Financeiro,Pagamentos,USA,,,,,,,,,,,ALTA,50,NOVA,
PayPal,Financeiro,Pagamentos,USA,,,,,,,,,,,ALTA,50,NOVA,
Stripe,Financeiro,Pagamentos,USA,,,,,,,,,,,ALTA,50,NOVA,
